id,time_mt,time_rt,time_et,time_at,lng,lat,speed,course,accum_trip,route_dir,route_flag,route_sn,route_dist
8330,2022-08-01 10:44:39,2022-08-01 10:44:40,2022-08-01 10:44:39,2022-08-01 06:51:48,113.991973,22.600931,19,343,70676.9,1,1,13,212
8335,2022-08-01 10:39:58,2022-08-01 10:44:42,2022-08-01 10:44:43,2022-08-01 10:19:13,113.998153,22.603366,0,45,65926.9,2,1,1,868
8371,2022-08-01 10:42:16,2022-08-01 10:44:33,2022-08-01 10:44:31,2022-08-01 06:55:55,113.991493,22.599569,0,87,74790.1,2,0,1,524
8411,2022-08-01 10:44:33,2022-08-01 10:44:36,2022-08-01 10:44:33,2022-08-01 06:50:11,113.993522,22.605308,19,158,51260.4,1,0,5,295
8421,2022-08-01 10:41:56,2022-08-01 10:44:27,2022-08-01 10:44:28,2022-08-01 07:19:03,113.997543,22.610599,0,291,65969.7,1,0,1,520
18447,2022-08-01 10:44:36,2022-08-01 10:44:40,2022-08-01 10:44:36,2022-07-30 11:42:10,113.998809,22.607433,21,9,42169.7,2,1,12,389
